City_ID,Name,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
127,kalmar,SE,2022-06-03 01:44:26,56.6616,16.3616,54.97,89,98,5.01
128,kudahuvadhoo,MV,2022-06-03 01:37:09,2.6708,72.8944,83.1,72,13,13.62
129,caravelas,BR,2022-06-03 01:36:10,-17.7125,-39.2481,71.56,86,33,3.67
130,terbuny,RU,2022-06-03 01:44:27,52.1389,38.2789,61.9,94,100,7.02
131,richards bay,ZA,2022-06-03 01:44:04,-28.783,32.0377,57.72,75,0,5.03
132,calabozo,VE,2022-06-03 01:44:27,8.9242,-67.4293,73.62,90,82,3.4
133,alta floresta,BR,2022-06-03 01:35:23,-9.8756,-56.0861,76.64,69,100,3.67
134,araouane,ML,2022-06-03 01:44:28,18.9048,-3.5265,89.11,10,64,7.31
135,portalegre,PT,2022-06-03 01:44:29,39.2938,-7.4312,51.91,97,3,2.1
136,maceio,BR,2022-06-03 01:34:41,-9.6658,-35.7353,74.64,88,20,5.75
137,ambilobe,MG,2022-06-03 01:34:52,-13.2,49.05,69.19,89,38,2.86
138,khor,RU,2022-06-03 01:44:30,47.8861,134.9464,59.9,70,95,7.96
139,el alto,PE,2022-06-03 01:44:30,-4.2714,-81.2147,63.55,79,88,10.02
140,america dourada,BR,2022-06-03 01:44:31,-11.4553,-41.4361,66.11,94,19,4.97
141,luau,AO,2022-06-03 01:36:44,-10.7073,22.2247,53.17,69,12,5.06
142,hit,IQ,2022-06-03 01:44:31,33.6416,42.8251,88.9,11,13,6.73
143,kidal,ML,2022-06-03 01:44:31,18.4411,1.4078,92.12,15,50,8.57
144,asfi,MA,2022-06-03 01:44:32,32.2994,-9.2372,65.73,79,9,1.88
145,raudeberg,NO,2022-06-03 01:44:32,61.9875,5.1352,48.87,96,100,9.57
146,marand,IR,2022-06-03 01:44:32,38.4329,45.7749,65.12,47,3,2.75
147,ilulissat,GL,2022-06-03 01:39:22,69.2167,-51.1,33.82,86,79,3.44
148,jaguaruana,BR,2022-06-03 01:44:33,-4.8339,-37.7811,72.79,94,77,1.45
